cod_tienda,anio,pasillo,rack,venta
CONCE,2025,056,056-1-14,760489.0756302521
CONCE,2025,056,056-2-02,361352.1008403361
CONCE,2025,056,056-2-03,122413.44537815127
CONCE,2025,056,056-2-04,2669038.655462185
CONCE,2025,056,056-2-05,7136368.067226891
CONCE,2025,056,056-2-06,769563.8655462185
CONCE,2025,057,057-2-01,10105117.647058824
CONCE,2025,057,057-2-07,7450.420168067227
CONCE,2025,060,060-1-01,6684121.8487394955
CONCE,2025,060,060-1-02,178117.64705882352
CONCE,2025,060,060-1-09,335451200.84033614
CONCE,2025,060,060-1-12,1328954.6218487397
CONCE,2025,060,060-2-04,44154.621848739494
CONCE,2025,060,060-2-07,1840572.268907563
CONCE,2025,060,060-2-08,4385415.12605042
CONCE,2025,060,060-2-09,107394.95798319328
CONCE,2025,060,060-2-11,4387218.487394958
CONCE,2025,061,061-2-01,2274156.3025210085
CONCE,2025,070,070-1-01,12661547.899159664
CONCE,2025,070,070-1-02,189055.46218487396
CONCE,2025,083,083-1-01,20098528.571428575
CONCE,2025,083,083-1-05,201008.40336134454
CONCE,2025,083,083-2-02,159040.3361344538
CONCE,2025,090,090-1-03,24131.09243697479
CONCE,2025,094,094-1-01,236561978.15126052
CONCE,2025,100,100-1-01,657394.1176470588
CONCE,2025,100,100-1-02,358679.8319327731
CONCE,2025,100,100-1-29,5621.848739495798
CONCE,2025,100,100-2-01,15553105.88235294
CONCE,2025,100,100-2-02,16546.21848739496
CONCE,2025,100,100-2-04,44036.97478991597
CONCE,2025,102,102-1-09,2722805.042016807
CONCE,2025,104,104-1-11,8861930.25210084
CONCE,2025,106,106-1-13,133487.3949579832
CONCE,2025,107,107-2-03,487234.4537815126
CONCE,2025,107,107-2-05,60494.117647058825
CONCE,2025,107,107-2-06,890558.8235294118
CONCE,2025,109,109-1-01,30739.49579831933
CONCE,2025,109,109-1-02,185054.6218487395
CONCE,2025,109,109-1-05,5585010.924369749
CONCE,2025,110,110-1-01,4760449.579831933
CONCE,2025,110,110-1-02,339640.33613445377
CONCE,2025,110,110-1-04,25008.40336134454
CONCE,2025,110,110-1-07,6942137.81512605
CONCE,2025,110,110-2-01,17967.226890756305
CONCE,2025,110,110-2-03,1569963.0252100842
CONCE,2025,110,110-2-05,5274740.336134454
CONCE,2025,110,110-2-06,27359.66386554622
CONCE,2025,111,111-1-01,2480937.8151260507
CONCE,2025,120,120-1-02,3988458.823529412
CONCE,2025,120,120-1-07,56359.663865546216
CONCE,2025,150,150-1-01,6295075.630252101
CONCE,2025,150,150-1-04,2012252.1008403362
CONCE,2025,150,150-2-01,116866.38655462186
CONCE,2025,150,150-2-16,2294537.8151260503
CONCE,2025,152,152-1-01,111939509.24369748
CONCE,2025,152,152-1-02,92721429.41176471
CONCE,2025,152,152-1-03,19090254.62184874
CONCE,2025,152,152-1-04,61854336.97478992
CONCE,2025,152,152-1-05,11371501.68067227
CONCE,2025,152,152-1-06,115621996.63865545
CONCE,2025,152,152-1-07,8141116.806722689
CONCE,2025,152,152-1-08,45281394.11764706
CONCE,2025,152,152-1-09,1130444.5378151261
CONCE,2025,152,152-1-10,84428299.15966387
CONCE,2025,152,152-1-11,190804715.96638656
CONCE,2025,152,152-1-12,68327105.0420168
CONCE,2025,152,152-1-13,5524038.655462185
CONCE,2025,152,152-1-14,62776713.445378155
CONCE,2025,152,152-1-15,17825584.033613447
CONCE,2025,152,152-1-16,2724911.7647058824
CONCE,2025,152,152-1-17,1919613.4453781513
CONCE,2025,180,180-1-01,18910846.218487397
CONCE,2025,203,203-1-01,111210.08403361344
CONCE,2025,203,203-1-02,49890.75630252101
CONCE,2025,203,203-2-03,4328399.159663865
CONCE,2025,203,203-2-07,95638.65546218488
CONCE,2025,207,207-1-01,898716.8067226891
CONCE,2025,209,209-1-02,4826100.840336135
CONCE,2025,209,209-2-02,7621.848739495798
CONCE,2025,211,211-1-01,568235.2941176471
CONCE,2025,211,211-1-02,83831.93277310925
CONCE,2025,500,500-1-01,365386.55462184874
CONCE,2025,510,510-1-01,55731.092436974795
CONCE,2026,001,001-1-01,29421294.957983196
CONCE,2026,001,001-1-02,10467190.756302522
CONCE,2026,001,001-2-01,7167631.092436975
CONCE,2026,001,001-2-02,4346859.663865547
CONCE,2026,002,002-1-01,2514423.529411765
CONCE,2026,002,002-1-02,2668315.12605042
CONCE,2026,002,002-2-01,14425325.210084034
CONCE,2026,002,002-2-02,11318538.655462185
CONCE,2026,003,003-1-01,10807921.008403363
CONCE,2026,003,003-1-02,10814958.823529411
CONCE,2026,003,003-2-01,5060421.8487394955
CONCE,2026,003,003-2-02,3350566.386554622
CONCE,2026,004,004-1-01,8177736.974789917
CONCE,2026,004,004-1-02,6071729.4117647065
CONCE,2026,004,004-2-01,7095009.243697479
CONCE,2026,004,004-2-02,11681375.6302521
CONCE,2026,005,005-1-01,4736063.025210084
CONCE,2026,005,005-1-02,7956889.915966387
CONCE,2026,005,005-2-01,11617046.218487395
CONCE,2026,005,005-2-02,11980278.99159664
CONCE,2026,006,006-1-01,3651705.042016807
CONCE,2026,006,006-1-02,4170353.781512605
CONCE,2026,006,006-1-03,2613021.0084033613
CONCE,2026,006,006-2-01,15575305.882352943
CONCE,2026,006,006-2-02,5977195.798319328
CONCE,2026,007,007-1-01,2465959.663865546
CONCE,2026,007,007-1-02,2030980.6722689075
CONCE,2026,007,007-1-03,2948357.9831932774
CONCE,2026,007,007-1-04,1802198.3193277312
CONCE,2026,007,007-2-01,6235600.840336135
CONCE,2026,007,007-2-02,6385925.210084034
CONCE,2026,008,008-1-01,6652794.117647059
CONCE,2026,008,008-1-02,7317362.18487395
CONCE,2026,008,008-1-03,21268149.57983193
CONCE,2026,008,008-1-04,12361927.731092438
CONCE,2026,008,008-1-05,5638193.277310925
CONCE,2026,008,008-2-02,2473438.655462185
CONCE,2026,008,008-2-04,143400.84033613445
CONCE,2026,008,008-2-05,20859863.025210086
CONCE,2026,008,008-2-06,39181737.815126054
CONCE,2026,008,008-2-07,21111740.336134456
CONCE,2026,008,008-2-08,11576053.781512605
CONCE,2026,008,008-2-09,15249941.176470589
CONCE,2026,008,008-2-10,7596263.025210084
CONCE,2026,009,009-1-01,7245147.05882353
CONCE,2026,009,009-1-02,5031050.420168067
CONCE,2026,009,009-1-03,5100963.865546219
CONCE,2026,009,009-2-01,12554960.50420168
CONCE,2026,009,009-2-02,27274826.890756305
CONCE,2026,009,009-2-03,14443270.588235294
CONCE,2026,009,009-2-04,6844886.554621849
CONCE,2026,009,009-2-05,2457853.781512605
CONCE,2026,009,009-2-06,23175605.88235294
CONCE,2026,009,009-2-07,11919371.42857143
CONCE,2026,010,010-1-01,13571310.084033614
CONCE,2026,010,010-1-02,14469278.151260504
CONCE,2026,010,010-1-03,15796234.453781513
CONCE,2026,010,010-1-04,7561517.647058824
CONCE,2026,010,010-1-05,2769001.680672269
CONCE,2026,010,010-2-01,22555738.655462187
CONCE,2026,010,010-2-02,6678779.831932774
CONCE,2026,010,010-2-03,12788250.420168068
CONCE,2026,011,011-1-01,1359315.9663865548
CONCE,2026,011,011-1-02,2903236.1344537814
CONCE,2026,011,011-1-03,5520661.344537815
CONCE,2026,011,011-1-04,7178360.504201681
CONCE,2026,011,011-1-05,2209724.3697478995
CONCE,2026,011,011-2-01,39787994.11764706
CONCE,2026,011,011-2-02,23227805.042016808
CONCE,2026,011,011-2-03,18237552.94117647
CONCE,2026,011,011-2-04,8879665.546218488
CONCE,2026,011,011-2-05,2968734.453781513
CONCE,2026,012,012-1-01,6465355.462184874
CONCE,2026,012,012-1-02,7688177.31092437
CONCE,2026,012,012-1-03,9422607.56302521
CONCE,2026,012,012-1-04,14336199.159663867
CONCE,2026,012,012-1-05,24828812.605042018
CONCE,2026,012,012-2-01,3773400.0
CONCE,2026,012,012-2-02,27208995.79831933
CONCE,2026,012,012-2-03,15244749.579831934
CONCE,2026,012,012-2-04,31607012.605042018
CONCE,2026,012,012-2-05,65558547.89915967
CONCE,2026,013,013-1-01,37973230.25210084
CONCE,2026,013,013-1-02,79313015.96638656
CONCE,2026,013,013-1-03,7314988.2352941185
CONCE,2026,013,013-1-04,4351116.806722689
CONCE,2026,013,013-1-05,25898084.033613447
CONCE,2026,013,013-2-01,3144472.2689075633
CONCE,2026,013,013-2-02,84319508.40336135
CONCE,2026,013,013-2-03,70151167.22689076
CONCE,2026,013,013-2-04,23262123.529411767
CONCE,2026,013,013-2-05,16583402.521008404
CONCE,2026,014,014-1-01,3909114.285714286
CONCE,2026,014,014-1-02,4167300.8403361347
CONCE,2026,014,014-1-03,7160693.277310925
CONCE,2026,014,014-1-04,13261852.100840338
CONCE,2026,014,014-2-01,14828958.823529413
CONCE,2026,014,014-2-02,25854865.54621849
CONCE,2026,014,014-2-03,11441590.756302522
CONCE,2026,014,014-2-04,6156603.361344538
CONCE,2026,014,014-2-05,7912080.672268908
CONCE,2026,015,015-1-01,2676720.168067227
CONCE,2026,015,015-1-02,2950392.43697479
CONCE,2026,015,015-1-03,5896386.554621849
CONCE,2026,015,015-1-04,1180057.1428571427
CONCE,2026,015,015-2-01,2716890.756302521
CONCE,2026,015,015-2-02,820158.8235294118
CONCE,2026,015,015-2-03,521975.6302521009
CONCE,2026,015,015-2-04,3765810.924369748
CONCE,2026,016,016-1-01,2100848.7394957985
CONCE,2026,016,016-1-02,3371117.6470588236
CONCE,2026,016,016-1-04,2638223.529411765
CONCE,2026,016,016-2-02,9412250.420168068
CONCE,2026,016,016-2-03,11491862.18487395
CONCE,2026,016,016-2-04,5078296.638655462
CONCE,2026,017,017-1-02,1632655.462184874
CONCE,2026,017,017-1-03,1545587.3949579832
CONCE,2026,017,017-1-04,1467494.1176470588
CONCE,2026,017,017-1-05,76176.4705882353
CONCE,2026,017,017-1-06,611097.4789915966
CONCE,2026,017,017-1-07,11181784.87394958
CONCE,2026,017,017-1-08,2856938.655462185
CONCE,2026,017,017-1-09,826977.3109243698
CONCE,2026,017,017-2-01,10041387.394957984
CONCE,2026,017,017-2-02,6272863.025210084
CONCE,2026,017,017-2-03,28803476.470588237
CONCE,2026,017,017-2-04,8761226.890756303
CONCE,2026,017,017-2-05,18683138.655462187
CONCE,2026,018,018-1-01,1511209.243697479
CONCE,2026,018,018-1-02,1827853.781512605
CONCE,2026,018,018-1-04,776360.5042016807
CONCE,2026,018,018-1-05,810237.8151260505
CONCE,2026,018,018-1-06,2549355.462184874
CONCE,2026,018,018-1-07,1372672.268907563
CONCE,2026,018,018-1-08,471209.243697479
CONCE,2026,018,018-1-09,1401934.4537815126
CONCE,2026,018,018-2-01,1930805.0420168068
CONCE,2026,018,018-2-03,2316099.159663866
CONCE,2026,018,018-2-04,976729.4117647059
CONCE,2026,018,018-2-05,2131025.2100840337
CONCE,2026,018,018-2-06,244165.5462184874
CONCE,2026,018,018-2-07,1219496.6386554623
